Округ,Территория (ТИК),№ участка,участки в местах временного пребывания избирателей,участки с КОИБ
ЦАО,Арбат,1,,на участке будет использоваться КОИБ
ЦАО,Арбат,2,,на участке будет использоваться КОИБ
ЦАО,Арбат,3,,на участке будет использоваться КОИБ
ЦАО,Арбат,4,,на участке будет использоваться КОИБ
ЦАО,Арбат,5,,на участке будет использоваться КОИБ
ЦАО,Арбат,6,,на участке будет использоваться КОИБ
ЦАО,Арбат,7,,на участке будет использоваться КОИБ
ЦАО,Арбат,8,,на участке будет использоваться КОИБ
ЦАО,Арбат,9,,на участке будет использоваться КОИБ
ЦАО,Басманный,10,,на участке будет использоваться КОИБ
ЦАО,Басманный,11,,на участке будет использоваться КОИБ
ЦАО,Басманный,12,,на участке будет использоваться КОИБ
ЦАО,Басманный,13,,на участке будет использоваться КОИБ
ЦАО,Басманный,14,,на участке будет использоваться КОИБ
ЦАО,Басманный,15,,на участке будет использоваться КОИБ
ЦАО,Басманный,16,,на участке будет использоваться КОИБ
ЦАО,Басманный,17,,на участке будет использоваться КОИБ
ЦАО,Басманный,18,,на участке будет использоваться КОИБ
ЦАО,Басманный,19,,на участке будет использоваться КОИБ
ЦАО,Басманный,20,,на участке будет использоваться КОИБ
ЦАО,Басманный,21,,на участке будет использоваться КОИБ
ЦАО,Басманный,22,,на участке будет использоваться КОИБ
ЦАО,Басманный,23,,на участке будет использоваться КОИБ
ЦАО,Басманный,24,,на участке будет использоваться КОИБ
ЦАО,Басманный,25,,на участке будет использоваться КОИБ
ЦАО,Басманный,26,,на участке будет использоваться КОИБ
ЦАО,Басманный,27,,на участке будет использоваться КОИБ
ЦАО,Басманный,28,,на участке будет использоваться КОИБ
ЦАО,Басманный,29,,на участке будет использоваться КОИБ
ЦАО,Басманный,30,,на участке будет использоваться КОИБ
ЦАО,Басманный,31,,на участке будет использоваться КОИБ
ЦАО,Басманный,32,,на участке будет использоваться КОИБ
ЦАО,Басманный,33,,на участке будет использоваться КОИБ
ЦАО,Басманный,34,,на участке будет использоваться КОИБ
ЦАО,Басманный,35,,на участке будет использоваться КОИБ
ЦАО,Басманный,36,,на участке будет использоваться КОИБ
ЦАО,Басманный,37,,на участке будет использоваться КОИБ
ЦАО,Басманный,3601,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3602,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3603,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3604,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3605,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3606,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3607,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3608,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3609,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,4001,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,38,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,39,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,40,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,41,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,42,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,43,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,44,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,45,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,46,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,47,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,48,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,3610,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,3611,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,3612,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,4002,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Красносельский,49,,на участке будет использоваться КОИБ
ЦАО,Красносельский,50,,на участке будет использоваться КОИБ
ЦАО,Красносельский,51,,на участке будет использоваться КОИБ
ЦАО,Красносельский,52,,на участке будет использоваться КОИБ
ЦАО,Красносельский,53,,на участке будет использоваться КОИБ
ЦАО,Красносельский,54,,на участке будет использоваться КОИБ
ЦАО,Красносельский,55,,на участке будет использоваться КОИБ
ЦАО,Красносельский,56,,на участке будет использоваться КОИБ
ЦАО,Красносельский,57,,на участке будет использоваться КОИБ
ЦАО,Красносельский,58,,на участке будет использоваться КОИБ
ЦАО,Красносельский,4003,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Красносельский,4004,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Красносельский,4005,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
